Formula,REFERENCE: doi,PROPERTY: BCC,PROPERTY: FCC,PROPERTY: HCP,PROPERTY: B2,PROPERTY: Im,PROPERTY: Multiphase,PROPERTY: Not_HEA,PROPERTY: Density (gm/cm^3),PROPERTY: RM_Density (gm/cm^3),PROPERTY: Vickers (HV),PROPERTY: Yield (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Modulus (GPa),PROPERTY: RM_Modulus (GPa)
NbTiV0.3Mo1.5,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.5,,,1576,,8,,
NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.5,,,1104,,50,,
NbTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.5,335,1105,,> 50,,104
NbTiV2Zr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.4,304,918,,> 50,,109
CoCrCuFeNiTiVZr,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.1,680,,,,,168
CoCrFeMoNiTiVZr,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,850,,,,,193
CoCuFeNiTiVZr,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.1,630,,,,,
CoFeNiV,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.8,238,,,,,187
CoFeMo0.2NiV,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8,267,,,,,
CoFeMo0.4NiV,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.1,402,,,,,
CoFeMo0.6NiV,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.2,557,,,,,
CoFeMo0.8NiV,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.3,606,,,,,
CoFeMoNiV,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.4,625,,,,,
CoFeMoNi1.2V,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.4,602,,,,,
CoFeMoNi1.4V,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.5,538,,,,,
CoFeMoNi1.6V,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.5,520,,,,,
CoFeMoNi1.8V,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.5,510,,,,,
CoFeMoNi2V,10.1016/j.dib.2018.11.111,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,8.5,382,,,,,
CoFeMoNiTiVZr,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.3,790,,,,,
CuFeNiTiVZr,10.1016/j.dib.2018.11.111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.8,590,,,,,142
CoCrCuFeMnNiTiV,10.1016/j.dib.2018.11.111,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,7.3,,1312,1312,< 1,74,74
AlFeNiTiVZr,10.1016/j.dib.2018.11.111,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.9,800,,,,,132
AlCrMoTi,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5.98,,1100,,,,
AlMoNbTi,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.46,,1100,,,,
HfMo0.5NbTiV0.5,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.96,,1260,,,,
HfMoNbTiZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8.68,,1575,,,,
MoNbTaTiVW,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10.91,,1515,,,,
MoNbTaTiW,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11.72,,1343,,,,
MoNbTaVW,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,12.29,,1246,,,,
MoNbTaW,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,13.6,,996,,,,
MoNbTi,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.67,,1100,,,,
NbTa0.3TiZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7.81,,882,,,,
NbTiZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6.63,,975,,,,
AlCrMoNbTi,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,6.56,,1010,,,,
Al0.24NbTiVZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,6.34,,1240,,,,
AlMo0.5NbTa0.5TiZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,7.14,,2000,,,,
Cr0.3NbTiZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,6.56,,1576,,,,
CrMo0.5NbTa0.5TiZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,7.98,,1595,,,,
HfMo0.5NbSi0.3TiV0.5,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,8.46,,1617,,,,
HfMo0.5NbSi0.5TiV0.5,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,8.16,,1787,,,,
HfMo0.5NbSi0.7TiV0.5,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,7.89,,2134,,,,
MoNbTiVZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,7.27,,1706,,,,
NbRe0.3TiZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,7.81,,1244,,,,
NbTaTiVZr,10.1016/j.actamat.2019.06.032,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,8.43,,1395,,,,
